13000,Ahmet,Çelik,3.93,9743,748,1,E
13001,Ahmet,Aydın,1.36,1211,749,1,K
13002,Ahmet,Öztürk,1.94,3117,752,2,K
13003,Mehmet,Şahin,1.92,3023,750,1,E
13004,Zeynep,Arslan,2.92,6303,751,1,E
13005,Mehmet,Yılmaz,3.62,8753,753,2,K
13006,Ali,Koç,1.83,2756,752,1,K
13007,Zeynep,Kaya,1.0,1,753,1,K
13008,Ayşe,Arslan,1.15,520,741,3,K
13009,Zeynep,Yılmaz,2.35,4417,763,4,E
13010,Ayşe,Öztürk,2.78,5828,742,3,K
13011,Elif,Yılmaz,3.94,9772,754,2,K
13012,Fatma,Çelik,2.16,3827,754,1,K
13013,Elif,Çelik,2.24,4083,755,2,E
13014,Can,Aydın,1.81,2666,743,3,E
13015,Zeynep,Çelik,2.48,4819,744,3,K
13016,Fatma,Demir,2.52,4958,745,3,K
13017,Elif,Arslan,1.1,333,764,4,K
13018,Can,Arslan,2.91,6267,756,2,E
13019,Ayşe,Şahin,2.56,5098,765,4,E
13020,Ali,Kaya,2.46,4763,755,1,E
13021,Ahmet,Aydın,2.95,6412,757,2,K
13022,Fatma,Demir,2.83,6015,766,4,E
13023,Murat,Doğan,3.84,9461,767,4,E
13024,Ali,Çelik,2.02,3360,768,4,K
13025,Ahmet,Doğan,1.03,119,758,2,E
13026,Ayşe,Öztürk,3.28,7556,769,4,E
13027,Ahmet,Koç,2.04,3436,746,3,E
13028,Elif,Arslan,1.36,1210,759,2,E
13029,Ayşe,Kaya,3.32,7704,756,1,E
13030,Ali,Koç,1.19,661,757,1,K
13031,Can,Koç,3.09,6869,758,1,E
13032,Ahmet,Demir,2.83,5988,747,3,K
13033,Zeynep,Öztürk,3.85,9514,760,2,K
13034,Ali,Doğan,2.26,4134,759,1,E
13035,Zeynep,Aydın,3.26,7484,770,4,E
13036,Ali,Koç,1.0,2,771,4,K
13037,Murat,Şahin,1.91,3016,748,3,K
13038,Elif,Çelik,2.19,3893,772,4,K
13039,Ayşe,Kaya,3.42,8051,760,1,E
13040,Zeynep,Öztürk,1.27,933,761,1,E
13041,Mehmet,Koç,3.76,9240,773,4,E
13042,Mehmet,Koç,3.7,9025,761,2,K
13043,Elif,Demir,2.56,5080,762,2,K
13044,Fatma,Koç,3.87,9564,763,2,K
13045,Murat,Çelik,1.35,1190,764,2,K
13046,Mehmet,Koç,1.52,1705,765,2,E
13047,Can,Kaya,2.32,4300,749,3,E
13048,Murat,Koç,2.26,4124,762,1,K
13049,Can,Arslan,3.4,7981,766,2,E
13050,Murat,Çelik,3.68,8988,763,1,K
13051,Mehmet,Yılmaz,1.72,2372,750,3,E
13052,Ahmet,Öztürk,1.27,926,764,1,K
13053,Fatma,Doğan,3.74,9165,765,1,E
13054,Deniz,Kaya,1.09,318,766,1,K
13055,Murat,Arslan,2.24,4065,774,4,E
13056,Murat,Öztürk,2.54,4998,767,2,K
13057,Murat,Arslan,1.99,3256,767,1,K
13058,Can,Kaya,3.18,7213,775,4,K
13059,Ali,Koç,2.12,3686,768,2,E
13060,Elif,Çelik,2.35,4410,751,3,K
13061,Ahmet,Aydın,3.23,7400,769,2,K
13062,Ayşe,Doğan,2.3,4244,768,1,K
13063,Deniz,Şahin,1.21,735,776,4,K
13064,Fatma,Öztürk,1.88,2910,777,4,K
13065,Zeynep,Aydın,2.56,5104,752,3,E
13066,Zeynep,Yılmaz,2.35,4419,769,1,E
13067,Fatma,Çelik,1.98,3241,778,4,E
13068,Fatma,Çelik,2.17,3850,779,4,K
13069,Can,Çelik,1.97,3221,780,4,E
13070,Ayşe,Aydın,1.39,1298,781,4,K
13071,Deniz,Arslan,3.68,8987,782,4,K
13072,Deniz,Arslan,1.12,425,770,1,E
13073,Zeynep,Koç,2.34,4373,770,2,E
13074,Deniz,Demir,1.11,375,783,4,K
13075,Ali,Yılmaz,3.93,9739,771,2,K
13076,Can,Arslan,1.15,533,772,2,K
13077,Ahmet,Yılmaz,2.01,3345,773,2,K
13078,Ali,Arslan,3.36,7855,774,2,E
13079,Deniz,Arslan,2.36,4431,775,2,K
13080,Deniz,Aydın,3.61,8747,771,1,K
13081,Mehmet,Doğan,2.76,5753,776,2,E
13082,Can,Çelik,2.12,3676,784,4,K
13083,Ali,Arslan,2.54,5021,772,1,K
13084,Elif,Şahin,2.66,5440,753,3,K
13085,Ali,Aydın,3.76,9248,773,1,K
13086,Mehmet,Kaya,2.6,5233,785,4,K
13087,Ahmet,Koç,2.78,5840,777,2,K
13088,Ayşe,Kaya,1.61,2047,778,2,K
13089,Deniz,Demir,1.43,1440,779,2,K
13090,Can,Arslan,3.59,8659,780,2,E
13091,Mehmet,Doğan,2.62,5315,781,2,E
13092,Ali,Kaya,3.88,9574,782,2,E
13093,Fatma,Öztürk,1.03,103,786,4,E
13094,Zeynep,Kaya,2.22,4006,783,2,E
13095,Murat,Kaya,1.04,141,774,1,E
13096,Elif,Koç,1.53,1738,754,3,E
13097,Mehmet,Şahin,1.27,916,755,3,K
13098,Elif,Arslan,3.3,7645,784,2,K
13099,Deniz,Demir,3.07,6801,785,2,E
13100,Mehmet,Kaya,1.01,39,787,4,K
13101,Ayşe,Öztürk,1.96,3172,775,1,E
13102,Deniz,Demir,3.77,9256,776,1,E
13103,Deniz,Aydın,2.8,5910,756,3,E
13104,Ahmet,Çelik,2.11,3641,788,4,K
13105,Mehmet,Kaya,3.56,8527,757,3,K
13106,Deniz,Demir,2.83,6014,758,3,E
13107,Can,Aydın,2.01,3343,789,4,E
13108,Ayşe,Doğan,1.5,1670,777,1,K
13109,Murat,Demir,1.06,191,759,3,E
13110,Deniz,Doğan,1.68,2246,760,3,E
13111,Ahmet,Arslan,1.44,1478,786,2,E
13112,Ali,Kaya,2.02,3364,787,2,E
13113,Ali,Doğan,3.52,8403,790,4,E
13114,Zeynep,Doğan,1.85,2813,761,3,K
13115,Ahmet,Yılmaz,1.26,898,788,2,K
13116,Murat,Çelik,2.91,6283,789,2,K
13117,Mehmet,Çelik,2.43,4672,791,4,K
